,"It was cold","cold","it was freezing","freezing","it was icy","icy","it was frigid","frigid","it was chilly","chilly","winter is coming","the arctic tundra","a blast of cold air","absolute zero","It was hot","hot","it was burning","burning","it was scorching","scorching","a warm day","the desert sun","a heatwave","It was lukewarm","lukewarm","room temperature"
"It was cold",1.0000,0.3818,0.6997,0.2539,0.7781,0.2171,0.6004,0.2111,0.8430,0.2165,0.2635,0.1658,0.2668,0.2095,0.7791,0.2319,0.4895,0.2316,0.4468,0.2003,0.3009,0.3080,0.2227,0.4063,0.2719,0.2430
"cold",0.3818,1.0000,0.3906,0.4712,0.4466,0.6890,0.2347,0.3072,0.3486,0.5057,0.1891,0.3028,0.3124,0.5034,0.3478,0.7791,0.4534,0.7440,0.3387,0.4594,0.2953,0.4083,0.4267,0.2217,0.4765,0.4501
"it was freezing",0.6997,0.3906,1.0000,0.4222,0.7596,0.3218,0.5313,0.2307,0.7489,0.2935,0.3436,0.1976,0.2716,0.3109,0.6235,0.3006,0.6947,0.3465,0.5875,0.3245,0.3005,0.3268,0.3125,0.3641,0.3185,0.3128
"freezing",0.2539,0.4712,0.4222,1.0000,0.3738,0.4540,0.2789,0.3472,0.3081,0.4077,0.1890,0.2851,0.3105,0.4257,0.2597,0.4013,0.3654,0.5049,0.3664,0.5459,0.2935,0.3273,0.4132,0.2217,0.4370,0.4479
"it was icy",0.7781,0.4466,0.7596,0.3738,1.0000,0.3738,0.6721,0.3360,0.8352,0.3447,0.2747,0.2395,0.3270,0.3237,0.6694,0.3358,0.5674,0.3468,0.5421,0.3172,0.3340,0.3606,0.3687,0.4578,0.3995,0.3394
"icy",0.2171,0.6890,0.3218,0.4540,0.3738,1.0000,0.1862,0.3073,0.2830,0.5341,0.1831,0.3455,0.3029,0.5272,0.2942,0.7205,0.4185,0.7047,0.3123,0.4546,0.2994,0.3964,0.4284,0.1730,0.4059,0.4005
"it was frigid",0.6004,0.2347,0.5313,0.2789,0.6721,0.1862,1.0000,0.4910,0.6937,0.2989,0.1871,0.2253,0.3137,0.2083,0.5839,0.1925,0.3935,0.1708,0.5597,0.2552,0.3577,0.2427,0.3181,0.4915,0.3188,0.2672
"frigid",0.2111,0.3072,0.2307,0.3472,0.3360,0.3073,0.4910,1.0000,0.2688,0.3979,0.0772,0.2694,0.2691,0.2785,0.2446,0.2977,0.2268,0.2861,0.3268,0.4159,0.2493,0.2288,0.2961,0.2941,0.4292,0.3255
"it was chilly",0.8430,0.3486,0.7489,0.3081,0.8352,0.2830,0.6937,0.2688,1.0000,0.2925,0.2720,0.2133,0.2862,0.2529,0.7685,0.2565,0.5249,0.2697,0.5122,0.2758,0.3473,0.3108,0.3115,0.4408,0.3102,0.3054
"chilly",0.2165,0.5057,0.2935,0.4077,0.3447,0.5341,0.2989,0.3979,0.2925,1.0000,0.1588,0.3185,0.2992,0.4535,0.2477,0.4661,0.3292,0.4696,0.3385,0.4882,0.3203,0.3374,0.4032,0.2372,0.4510,0.4039
"winter is coming",0.2635,0.1891,0.3436,0.1890,0.2747,0.1831,0.1871,0.0772,0.2720,0.1588,1.0000,0.1864,0.1852,0.2118,0.2607,0.1691,0.3164,0.1873,0.2891,0.1742,0.2121,0.1991,0.2467,0.1327,0.1405,0.1591
"the arctic tundra",0.1658,0.3028,0.1976,0.2851,0.2395,0.3455,0.2253,0.2694,0.2133,0.3185,0.1864,1.0000,0.3433,0.3426,0.2021,0.2939,0.2437,0.3327,0.2569,0.3218,0.2947,0.3587,0.4706,0.1204,0.2804,0.3277
"a blast of cold air",0.2668,0.3124,0.2716,0.3105,0.3270,0.3029,0.3137,0.2691,0.2862,0.2992,0.1852,0.3433,1.0000,0.3373,0.2966,0.2959,0.2873,0.3063,0.3384,0.2988,0.4667,0.4212,0.5133,0.2421,0.3029,0.3814
"absolute zero",0.2095,0.5034,0.3109,0.4257,0.3237,0.5272,0.2083,0.2785,0.2529,0.4535,0.2118,0.3426,0.3373,1.0000,0.2536,0.4950,0.3939,0.5152,0.3400,0.4437,0.3789,0.4119,0.4570,0.1951,0.4086,0.4656
"It was hot",0.7791,0.3478,0.6235,0.2597,0.6694,0.2942,0.5839,0.2446,0.7685,0.2477,0.2607,0.2021,0.2966,0.2536,1.0000,0.4088,0.5707,0.3330,0.5150,0.2287,0.2874,0.3019,0.2697,0.3935,0.2842,0.2849
"hot",0.2319,0.7791,0.3006,0.4013,0.3358,0.7205,0.1925,0.2977,0.2565,0.4661,0.1691,0.2939,0.2959,0.4950,0.4088,1.0000,0.4741,0.7752,0.3343,0.4291,0.2625,0.3797,0.3984,0.1750,0.4076,0.4108
"it was burning",0.4895,0.4534,0.6947,0.3654,0.5674,0.4185,0.3935,0.2268,0.5249,0.3292,0.3164,0.2437,0.2873,0.3939,0.5707,0.4741,1.0000,0.5978,0.6272,0.3912,0.3161,0.3637,0.3900,0.2737,0.3191,0.3486
"burning",0.2316,0.7440,0.3465,0.5049,0.3468,0.7047,0.1708,0.2861,0.2697,0.4696,0.1873,0.3327,0.3063,0.5152,0.3330,0.7752,0.5978,1.0000,0.3646,0.5178,0.3002,0.3994,0.4375,0.1583,0.3918,0.4294
"it was scorching",0.4468,0.3387,0.5875,0.3664,0.5421,0.3123,0.5597,0.3268,0.5122,0.3385,0.2891,0.2569,0.3384,0.3400,0.5150,0.3343,0.6272,0.3646,1.0000,0.4985,0.3351,0.2995,0.3963,0.3927,0.3357,0.3176
"scorching",0.2003,0.4594,0.3245,0.5459,0.3172,0.4546,0.2552,0.4159,0.2758,0.4882,0.1742,0.3218,0.2988,0.4437,0.2287,0.4291,0.3912,0.5178,0.4985,1.0000,0.3036,0.3326,0.4184,0.2137,0.4322,0.4332
"a warm day",0.3009,0.2953,0.3005,0.2935,0.3340,0.2994,0.3577,0.2493,0.3473,0.3203,0.2121,0.2947,0.4667,0.3789,0.2874,0.2625,0.3161,0.3002,0.3351,0.3036,1.0000,0.3821,0.4817,0.1875,0.2466,0.3238
"the desert sun",0.3080,0.4083,0.3268,0.3273,0.3606,0.3964,0.2427,0.2288,0.3108,0.3374,0.1991,0.3587,0.4212,0.4119,0.3019,0.3797,0.3637,0.3994,0.2995,0.3326,0.3821,1.0000,0.4216,0.1656,0.3143,0.4501
"a heatwave",0.2227,0.4267,0.3125,0.4132,0.3687,0.4284,0.3181,0.2961,0.3115,0.4032,0.2467,0.4706,0.5133,0.4570,0.2697,0.3984,0.3900,0.4375,0.3963,0.4184,0.4817,0.4216,1.0000,0.2272,0.3873,0.4860
"It was lukewarm",0.4063,0.2217,0.3641,0.2217,0.4578,0.1730,0.4915,0.2941,0.4408,0.2372,0.1327,0.1204,0.2421,0.1951,0.3935,0.1750,0.2737,0.1583,0.3927,0.2137,0.1875,0.1656,0.2272,1.0000,0.5576,0.2175
"lukewarm",0.2719,0.4765,0.3185,0.4370,0.3995,0.4059,0.3188,0.4292,0.3102,0.4510,0.1405,0.2804,0.3029,0.4086,0.2842,0.4076,0.3191,0.3918,0.3357,0.4322,0.2466,0.3143,0.3873,0.5576,1.0000,0.4355
"room temperature",0.2430,0.4501,0.3128,0.4479,0.3394,0.4005,0.2672,0.3255,0.3054,0.4039,0.1591,0.3277,0.3814,0.4656,0.2849,0.4108,0.3486,0.4294,0.3176,0.4332,0.3238,0.4501,0.4860,0.2175,0.4355,1.0000
