,"It was cold","cold","it was freezing","freezing","it was icy","icy","it was frigid","frigid","it was chilly","chilly","winter is coming","the arctic tundra","a blast of cold air","absolute zero","It was hot","hot","it was burning","burning","it was scorching","scorching","a warm day","the desert sun","a heatwave","It was lukewarm","lukewarm","room temperature"
"It was cold",1.0000,0.3818,0.1677,0.2101,0.1677,0.2171,0.6004,0.2022,0.1677,0.1858,0.2718,0.1673,0.2017,0.1890,0.2486,0.2319,0.1677,0.2316,0.1677,0.0832,0.2017,0.2676,0.2017,0.3448,0.1319,0.1836
"cold",0.3818,1.0000,0.5794,0.6866,0.5794,0.6890,0.2347,0.6601,0.5794,0.6480,0.7182,0.4738,0.6254,0.6640,0.4436,0.7791,0.5794,0.7440,0.5794,0.1628,0.6254,0.5466,0.6254,0.4232,0.6095,0.6811
"it was freezing",0.1677,0.5794,1.0000,0.5748,1.0000,0.6116,0.1479,0.6012,1.0000,0.6240,0.5502,0.4128,0.7011,0.6277,0.6813,0.6135,1.0000,0.5863,1.0000,0.1205,0.7011,0.4508,0.7011,0.3567,0.5423,0.6161
"freezing",0.2101,0.6866,0.5748,1.0000,0.5748,0.6602,0.1732,0.6797,0.5748,0.6186,0.6092,0.4153,0.6304,0.6570,0.4756,0.6886,0.5748,0.6479,0.5748,0.1366,0.6304,0.4784,0.6304,0.3564,0.5284,0.6346
"it was icy",0.1677,0.5794,1.0000,0.5748,1.0000,0.6116,0.1479,0.6012,1.0000,0.6240,0.5502,0.4128,0.7011,0.6277,0.6813,0.6135,1.0000,0.5863,1.0000,0.1205,0.7011,0.4508,0.7011,0.3567,0.5423,0.6161
"icy",0.2171,0.6890,0.6116,0.6602,0.6116,1.0000,0.1862,0.6703,0.6116,0.6751,0.6488,0.5176,0.6337,0.6871,0.4952,0.7205,0.6116,0.7047,0.6116,0.1690,0.6337,0.5413,0.6337,0.4194,0.6476,0.6768
"it was frigid",0.6004,0.2347,0.1479,0.1732,0.1479,0.1862,1.0000,0.1609,0.1479,0.1262,0.1765,0.1212,0.1884,0.1689,0.1726,0.1925,0.1479,0.1708,0.1479,0.0757,0.1884,0.2426,0.1884,0.2133,0.1026,0.1557
"frigid",0.2022,0.6601,0.6012,0.6797,0.6012,0.6703,0.1609,1.0000,0.6012,0.7371,0.5842,0.4983,0.6911,0.6453,0.4944,0.6709,0.6012,0.6576,0.6012,0.1751,0.6911,0.4815,0.6911,0.4908,0.6198,0.6393
"it was chilly",0.1677,0.5794,1.0000,0.5748,1.0000,0.6116,0.1479,0.6012,1.0000,0.6240,0.5502,0.4128,0.7011,0.6277,0.6813,0.6135,1.0000,0.5863,1.0000,0.1205,0.7011,0.4508,0.7011,0.3567,0.5423,0.6161
"chilly",0.1858,0.6480,0.6240,0.6186,0.6240,0.6751,0.1262,0.7371,0.6240,1.0000,0.5760,0.5246,0.6533,0.6214,0.4980,0.6873,0.6240,0.6511,0.6240,0.1865,0.6533,0.4697,0.6533,0.4174,0.6535,0.6799
