,"unknowable","unthinkable","inconceivable","unfathomable","unimaginable","unnameable","indescribable","imperceptible","incogitable","mind-boggling","beyond wildest dreams","not understandable","there is nothing to understand","impossible to comprehend","cannot be grasped","nothing","void","nothingness","absence","non-existence","there is nothing","absolute nothingness","total void","nihility","nihil","annihilation","oblivion","null","nullity","vacancy","vacuity","darkness","dark","shadow","shadowy","abyss","abyssal","night","nocturnal","blackness","dim","desolation","desolate","hollow","emptiness","silence","vacuum","strange","unheard-of","impossible","improbable","singular","unmaking","beyond comprehension","transcendent horror","cosmic dread","maddening","defies explanation","surpasses understanding","everything","all","totality","presence","being","there is everything","absolute presence","fullness","existence","reality","substance","abundance","understandable","knowable","conceivable","thinkable","clear","obvious","transparent","comprehensible","graspable","explicable","rational","logical","light","bright","glowing","shining","incandescent","luminous","radiant","brilliant","dazzling","blazing"
"unknowable",1.0000,0.6825,0.2614,0.2290,0.2686,0.3608,0.2191,0.0896,0.7034,0.2031,0.6194,0.5654,0.1248,0.7096,0.6468,-0.1310,-0.1310,-0.1310,0.7382,0.6763,0.1607,0.6219,0.5634,0.6593,0.6653,0.5550,0.7033,0.4740,0.4740,0.6550,0.5365,0.6410,0.6410,0.6757,0.6757,0.7496,0.7496,0.6459,0.2097,0.4875,0.6852,0.6325,0.6325,0.6465,0.6664,0.6758,0.6550,0.7001,0.6825,0.7096,0.6964,0.7098,0.6825,0.6194,0.6146,0.6605,0.2453,0.2049,0.6880,0.5358,0.5392,0.6585,0.6834,-0.1310,0.3510,0.6219,0.5016,0.6581,0.6509,0.2691,0.1933,0.6047,0.5359,0.7000,0.5381,0.6278,0.7033,0.6146,0.6203,0.3707,0.6714,0.6515,0.6209,0.6585,0.7186,0.7067,0.7123,0.7034,0.6723,0.7434,0.1970,0.6642,0.7238
"unthinkable",0.6825,1.0000,0.2355,0.2218,0.2932,0.3594,0.1910,0.0688,0.7016,0.1947,0.6884,0.6661,0.1375,0.6717,0.6674,-0.1341,-0.1341,-0.1341,0.6666,0.7572,0.1683,0.6220,0.5689,0.5686,0.7106,0.5217,0.7354,0.4754,0.4754,0.6511,0.4916,0.6214,0.6214,0.6173,0.6173,0.5875,0.5875,0.6033,0.1705,0.4580,0.6188,0.6732,0.6732,0.6665,0.5544,0.6878,0.6511,0.6559,1.0000,0.6717,0.6687,0.6627,1.0000,0.6884,0.6833,0.6179,0.2512,0.2076,0.7230,0.5445,0.5816,0.6687,0.6757,-0.1341,0.3497,0.6220,0.5429,0.6137,0.6068,0.2212,0.1547,0.6490,0.5320,0.7114,0.5371,0.6518,0.7354,0.6833,0.6422,0.3435,0.6335,0.5808,0.6023,0.6290,0.6629,0.6698,0.7306,0.7016,0.6755,0.6405,0.1510,0.6527,0.7126
"inconceivable",0.2614,0.2355,1.0000,0.2762,0.2310,0.2578,0.3363,0.1897,0.2556,0.1043,0.2321,0.1970,0.0760,0.2327,0.2272,-0.0284,-0.0284,-0.0284,0.2338,0.2268,0.1153,0.2256,0.1947,0.1879,0.1991,0.2314,0.2542,0.1752,0.1752,0.2105,0.2340,0.2181,0.2181,0.2249,0.2249,0.2140,0.2140,0.2007,0.2652,0.2316,0.2358,0.2118,0.2118,0.2170,0.2067,0.2575,0.2105,0.2192,0.2355,0.2327,0.2385,0.2185,0.2355,0.2321,0.2416,0.2342,0.1437,0.1304,0.2380,0.1943,0.1911,0.2261,0.2473,-0.0284,0.1788,0.2256,0.1996,0.2314,0.2261,0.3016,0.3024,0.2478,0.1973,0.3392,0.2125,0.2587,0.2542,0.2416,0.2270,0.1629,0.2333,0.2178,0.2437,0.2136,0.2397,0.2408,0.2402,0.2556,0.2245,0.2382,0.1337,0.2133,0.2389
"unfathomable",0.2290,0.2218,0.2762,1.0000,0.5165,0.3397,0.2563,0.2951,0.2295,0.0785,0.2362,0.2021,0.1003,0.2529,0.2848,-0.0821,-0.0821,-0.0821,0.2186,0.2651,0.0927,0.2175,0.1757,0.2195,0.2708,0.2308,0.2478,0.1565,0.1565,0.2715,0.2261,0.1943,0.1943,0.1952,0.1952,0.1956,0.1956,0.1772,0.2223,0.2181,0.2123,0.2052,0.2052,0.2948,0.1856,0.2516,0.2715,0.2466,0.2218,0.2529,0.2273,0.2200,0.2218,0.2362,0.2072,0.2238,0.0943,0.1361,0.2361,0.1829,0.1688,0.2891,0.2315,-0.0821,0.1684,0.2175,0.1725,0.2189,0.1880,0.3463,0.2415,0.2081,0.1635,0.2248,0.2123,0.2313,0.2478,0.2072,0.2463,0.1996,0.2221,0.1928,0.2108,0.1930,0.2109,0.2626,0.2375,0.2295,0.2641,0.2157,0.1684,0.2803,0.2594
"unimaginable",0.2686,0.2932,0.2310,0.5165,1.0000,0.3662,0.2340,0.2301,0.2759,0.0583,0.2492,0.2338,0.0661,0.2782,0.2480,-0.0742,-0.0742,-0.0742,0.2808,0.2771,0.0717,0.2326,0.2030,0.2411,0.2682,0.2259,0.2801,0.2051,0.2051,0.2465,0.2193,0.1907,0.1907,0.2292,0.2292,0.2438,0.2438,0.1991,0.2359,0.2170,0.2867,0.2354,0.2354,0.2558,0.2213,0.2386,0.2465,0.2482,0.2932,0.2782,0.2629,0.2390,0.2932,0.2492,0.1996,0.2355,0.0915,0.0971,0.2651,0.1949,0.1710,0.2450,0.2458,-0.0742,0.2039,0.2326,0.1702,0.2233,0.2249,0.2682,0.1904,0.2232,0.1639,0.2479,0.2340,0.2222,0.2801,0.1996,0.2785,0.1694,0.2371,0.2082,0.2417,0.2206,0.2303,0.2645,0.2705,0.2759,0.2511,0.2404,0.1664,0.2211,0.2575
"unnameable",0.3608,0.3594,0.2578,0.3397,0.3662,1.0000,0.1760,0.1641,0.3261,0.1557,0.3426,0.3411,0.1110,0.3383,0.3475,-0.1140,-0.1140,-0.1140,0.3401,0.3588,0.1668,0.3616,0.3308,0.3788,0.3317,0.3862,0.3360,0.3061,0.3061,0.3374,0.3958,0.3540,0.3540,0.3759,0.3759,0.3211,0.3211,0.3496,0.1835,0.3658,0.3718,0.3189,0.3189,0.3367,0.3597,0.3706,0.3374,0.3593,0.3594,0.3383,0.3474,0.3711,0.3594,0.3426,0.3212,0.3541,0.1984,0.1717,0.3336,0.3290,0.3066,0.3389,0.3676,-0.1140,0.2251,0.3616,0.3055,0.3622,0.3551,0.2336,0.1599,0.3193,0.3514,0.3368,0.3480,0.3751,0.3360,0.3212,0.3084,0.3273,0.3075,0.3438,0.3526,0.3449,0.3821,0.3470,0.3664,0.3261,0.3379,0.3334,0.1641,0.3306,0.3524
"indescribable",0.2191,0.1910,0.3363,0.2563,0.2340,0.1760,1.0000,0.1479,0.2188,0.0928,0.1750,0.1590,0.0634,0.2084,0.2054,-0.0415,-0.0415,-0.0415,0.2236,0.1735,0.0621,0.1927,0.1616,0.1873,0.1802,0.2185,0.2104,0.1663,0.1663,0.1980,0.1925,0.1628,0.1628,0.1753,0.1753,0.1960,0.1960,0.1660,0.1953,0.1808,0.1976,0.2098,0.2098,0.1899,0.1986,0.2183,0.1980,0.2193,0.1910,0.2084,0.2383,0.1862,0.1910,0.1750,0.1998,0.1865,0.1374,0.1482,0.2247,0.1496,0.1402,0.1910,0.2047,-0.0415,0.1604,0.1927,0.1457,0.1911,0.1776,0.2744,0.3268,0.1995,0.1606,0.2095,0.1743,0.1996,0.2104,0.1998,0.2111,0.1720,0.2595,0.2008,0.2267,0.1610,0.1960,0.2124,0.2181,0.2188,0.1873,0.2211,0.2094,0.1818,0.2190
"imperceptible",0.0896,0.0688,0.1897,0.2951,0.2301,0.1641,0.1479,1.0000,0.0826,0.0392,0.0770,0.0375,0.0682,0.1030,0.0744,0.0423,0.0423,0.0423,0.0559,0.0781,0.0817,0.0736,0.0643,0.0760,0.0679,0.0797,0.0955,0.0488,0.0488,0.0772,0.0626,0.0512,0.0512,0.0725,0.0725,0.0625,0.0625,0.0454,0.2130,0.0853,0.0786,0.0799,0.0799,0.0645,0.0523,0.0748,0.0772,0.0824,0.0688,0.1030,0.0965,0.0666,0.0688,0.0770,0.0738,0.0837,0.0616,0.0969,0.1076,0.0598,0.0434,0.0703,0.1012,0.0423,0.1030,0.0736,0.0377,0.0572,0.0462,0.2315,0.2158,0.1144,0.0462,0.0862,0.0577,0.0834,0.0955,0.0738,0.0781,0.1003,0.0890,0.0736,0.0739,0.0392,0.0604,0.0741,0.0837,0.0826,0.0704,0.0684,0.1741,0.0554,0.0953
"incogitable",0.7034,0.7016,0.2556,0.2295,0.2759,0.3261,0.2188,0.0826,1.0000,0.2076,0.6476,0.6035,0.1306,0.7566,0.7426,-0.1335,-0.1335,-0.1335,0.7594,0.6611,0.1715,0.6345,0.5878,0.6246,0.6373,0.5263,0.7304,0.4347,0.4347,0.6912,0.4993,0.5940,0.5940,0.6227,0.6227,0.6647,0.6647,0.6032,0.2046,0.4624,0.6515,0.7289,0.7289,0.6936,0.6345,0.7113,0.6912,0.7604,0.7016,0.7566,0.7039,0.6735,0.7016,0.6476,0.6764,0.6848,0.2433,0.2003,0.7467,0.5553,0.5782,0.6913,0.7414,-0.1335,0.3519,0.6345,0.5221,0.6183,0.6230,0.2526,0.1801,0.6279,0.5344,0.7512,0.5244,0.6428,0.7304,0.6764,0.6912,0.3688,0.7012,0.6012,0.5915,0.6485,0.6857,0.7169,0.7374,1.0000,0.7041,0.6809,0.1821,0.6948,0.7205
"mind-boggling",0.2031,0.1947,0.1043,0.0785,0.0583,0.1557,0.0928,0.0392,0.2076,1.0000,0.1930,0.1930,0.0721,0.2131,0.2131,-0.0209,-0.0209,-0.0209,0.1942,0.2169,0.1318,0.2959,0.2197,0.2182,0.1794,0.2963,0.1881,0.1521,0.1521,0.2064,0.2843,0.1934,0.1934,0.1971,0.1971,0.1844,0.1844,0.2024,0.0589,0.2414,0.1856,0.1837,0.1837,0.1941,0.1686,0.2159,0.2064,0.2125,0.1947,0.2131,0.2191,0.2152,0.1947,0.1930,0.1957,0.1947,0.7625,0.2293,0.2027,0.1969,0.1797,0.2074,0.2111,-0.0209,0.1902,0.2959,0.1879,0.2412,0.2010,0.1021,0.0743,0.2131,0.1717,0.2052,0.2711,0.2444,0.1881,0.1957,0.1853,0.2165,0.1959,0.2276,0.1956,0.2019,0.2369,0.2206,0.2117,0.2076,0.2010,0.1965,0.0812,0.2083,0.2054
