# generated_utc	2026-08-14T14:49:09+00:00
# script	probe_v4.py
# python	3.11.15
# torch	2.9.0+cu128
# transformers	4.57.1
# device	cuda
# gpu	NVIDIA GeForce RTX 5060 Laptop GPU
# revision	607a30d783dfa663caf39e06633721c8d4cfcd7e
# layer	5
# tf32_matmul	False
# tf32_cudnn	False
# theta_sha256	113687a222f8cf98039222c27b39aaf716493e5e8c1db94ea4e6544e0814088c
# n_rows	88
string	bos	rho	n_tok	dest	delta	t_star	runner_up	peak_val	tokens	token_ids	peak_20	peakpos_20	peak_1430	peakpos_1430	peak_1888	peakpos_1888	peak_2256	peakpos_2256	prefix	prefix_dest	prefix_delta	prefix_agrees	block	carrier	incumbent	incumbent_val	pred_delta	signed_delta	pred_err	pred_sign_ok
at Mackinaw	1	R	4	20	0.322105	3	1430	3.081348	["at", " Mack", "in", "aw"]	[265, 16640, 259, 707]	3.081348	3	2.759243	3	2.295273	2	2.36087	0	at Mackin	20	0.322105	1	carriers	at	2256	2.360871	0.720477	0.322105	-0.398372	1
at	1	R	1	2256	0.110072	0	1790	2.360871	["at"]	[265]	-0.00705	0	-0.122657	0	2.128478	1	2.360871	0					carrier_alone	at						
the Mackinaw	1	R	4	20	0.420925	3	1430	3.327903	["the", " Mack", "in", "aw"]	[1169, 16640, 259, 707]	3.327903	3	2.906978	3	2.623778	1	2.36087	0	the Mackin	20	0.420925	1	carriers	the	1790	2.743752	0.584151	0.420925	-0.163226	1
the	1	R	1	1790	0.119972	1	1888	2.743752	["the"]	[1169]	-0.00705	0	-0.122657	0	2.623779	1	2.360871	0					carrier_alone	the						
on Mackinaw	1	R	4	20	0.314855	3	1430	3.184914	["on", " Mack", "in", "aw"]	[261, 16640, 259, 707]	3.184914	3	2.870058	3	2.759684	1	2.36087	0	on Mackin	20	0.314855	1	carriers	on	1888	2.759687	0.425227	0.314855	-0.110372	1
on	1	R	1	1888	0.132633	1	1790	2.759687	["on"]	[261]	-0.00705	0	-0.122657	0	2.759687	1	2.360871	0					carrier_alone	on						
near Mackinaw	1	R	4	20	0.176794	3	1435	3.21908	["near", " Mack", "in", "aw"]	[40093, 16640, 259, 707]	3.21908	3	2.885636	3	2.814234	1	2.36087	0	near Mackin	20	0.176794	1	carriers	near	1435	3.042288	0.176792	0.176794	2e-06	1
near	1	R	1	1435	0.228054	1	1888	3.042288	["near"]	[40093]	-0.00705	0	-0.066826	1	2.814235	1	2.360871	0					carrier_alone	near						
was Mackinaw	1	R	4	20	0.448775	3	1430	3.130962	["was", " Mack", "in", "aw"]	[9776, 16640, 259, 707]	3.130962	3	2.682187	3	2.417966	2	2.36087	0	was Mackin	20	0.448775	1	carriers	was	2256	2.360871	0.770091	0.448775	-0.321316	1
was	1	R	1	2256	0.259378	0	1888	2.360871	["was"]	[9776]	-0.00705	0	-0.122657	0	2.101493	1	2.360871	0					carrier_alone	was						
