# generated_utc	2026-08-14T14:49:08+00:00
# script	probe_v4.py
# python	3.11.15
# torch	2.9.0+cu128
# transformers	4.57.1
# device	cuda
# gpu	NVIDIA GeForce RTX 5060 Laptop GPU
# revision	607a30d783dfa663caf39e06633721c8d4cfcd7e
# layer	5
# tf32_matmul	False
# tf32_cudnn	False
# theta_sha256	113687a222f8cf98039222c27b39aaf716493e5e8c1db94ea4e6544e0814088c
# n_rows	23
string	bos	rho	n_tok	dest	delta	t_star	runner_up	peak_val	tokens	token_ids	peak_20	peakpos_20	peak_1430	peakpos_1430	peak_1888	peakpos_1888	peak_2256	peakpos_2256	prefix	prefix_dest	prefix_delta	prefix_agrees	block
at robin	1	R	3	281	1.049642	3	2256	3.410512	["at", " rob", "in"]	[265, 3857, 259]	-0.00705	0	-0.030447	2	2.183644	2	2.36087	0	at robin	281	1.049642	1	doors
at Quibinaw	1	R	5	1235	0.13773	3	2740	2.741479	["at", " Qu", "ib", "in", "aw"]	[265, 2264, 571, 259, 707]	0.620826	3	-0.040124	4	2.250418	2	2.36087	0	at Quib	1235	0.13773	1	doors
at Mackerel	1	R	4	1202	0.404181	3	1318	3.177692	["at", " Mac", "ke", "rel"]	[265, 4100, 365, 2411]	1.061462	3	0.026607	3	2.171644	2	2.36087	0	at Macke	1202	0.404181	1	doors
at Mackle	1	R	3	13	0.040834	3	1430	2.681237	["at", " Mack", "le"]	[265, 16640, 293]	0.792465	3	2.640403	3	2.295273	2	2.36087	0	at Mackle	13	0.040834	1	doors
at basin	1	R	2	1790	0.019526	2	2256	2.380397	["at", " basin"]	[265, 34164]	-0.00705	0	-0.085045	2	2.206849	2	2.360871	0	at basin	1790	0.019526	1	doors
at goblin	1	R	2	1790	0.008675	2	1888	2.640664	["at", " goblin"]	[265, 44625]	-0.00705	0	-0.119479	2	2.631989	2	2.360871	0	at goblin	1790	0.008675	1	doors
cold gums	1	R	3	945	0.127415	2	2874	2.685487	["cold", " g", "ums"]	[36673, 308, 5700]	-0.00705	0	-0.074106	3	2.533047	1	2.36087	0	cold g	945	0.127411	1	doors
at Mackinaw	1	R	4	20	0.322105	3	1430	3.081348	["at", " Mack", "in", "aw"]	[265, 16640, 259, 707]	3.081348	3	2.759243	3	2.295273	2	2.36087	0	at Mackin	20	0.322105	1	doors
at napkin	1	R	3	1888	0.302028	2	2256	2.662898	["at", " nap", "kin"]	[265, 25422, 5116]	-0.00705	0	-0.122657	0	2.662898	2	2.36087	0	at nap	1888	0.302026	1	doors
at robin	1	R	3	281	1.049642	3	2256	3.410512	["at", " rob", "in"]	[265, 3857, 259]	-0.00705	0	-0.030447	2	2.183644	2	2.36087	0	at robin	281	1.049642	1	doors
the robin	1	R	3	1790	0.119971	1	1888	2.743749	["the", " rob", "in"]	[1169, 3857, 259]	-0.00705	0	-0.044836	2	2.623778	1	2.36087	0	the	1790	0.119972	1	doors
on robin	1	R	3	1888	0.11618	1	281	2.759684	["on", " rob", "in"]	[261, 3857, 259]	-0.00705	0	-0.070084	2	2.759684	1	2.36087	0	on	1888	0.132633	1	doors
a robin	1	R	3	1888	0.313731	1	2256	2.674601	["a", " rob", "in"]	[64, 3857, 259]	-0.00705	0	-0.046062	2	2.674601	1	2.36087	0	a	1888	0.313729	1	doors
at robins	1	R	3	281	0.564338	2	2256	2.925208	["at", " rob", "ins"]	[265, 3857, 1040]	-0.00705	0	-0.030447	2	2.183644	2	2.36087	0	at rob	281	0.564337	1	doors
at robin's	1	R	4	281	1.049642	3	2256	3.410512	["at", " rob", "in", "'s"]	[265, 3857, 259, 338]	0.324036	4	-0.030447	2	2.183644	2	2.36087	0	at robin	281	1.049642	1	doors
at Robin	1	R	2	2256	0.110072	0	1790	2.360871	["at", " Robin"]	[265, 12325]	-0.00705	0	-0.05858	2	2.128478	1	2.360871	0				bos_footprint	doors
at ROBIN	1	R	3	858	0.649621	2	2256	3.010491	["at", " ROB", "IN"]	[265, 36449, 1268]	0.495939	3	-0.006722	3	2.128478	1	2.36087	0	at ROB	858	0.649622	1	doors
at robi	1	R	3	281	0.573694	3	2770	3.229583	["at", " rob", "i"]	[265, 3857, 72]	-0.00705	0	-0.030447	2	2.183644	2	2.36087	0	at robi	281	0.573694	1	doors
at rob	1	R	2	281	0.564337	2	2256	2.925208	["at", " rob"]	[265, 3857]	-0.00705	0	-0.030447	2	2.183643	2	2.360871	0	at rob	281	0.564337	1	doors
at robby	1	R	3	281	1.582732	3	2256	3.943602	["at", " rob", "by"]	[265, 3857, 1525]	-0.00705	0	-0.030447	2	2.183644	2	2.36087	0	at robby	281	1.582732	1	doors
at robing	1	R	3	281	0.564338	2	2256	2.925208	["at", " rob", "ing"]	[265, 3857, 278]	0.066853	3	-0.030447	2	2.183644	2	2.36087	0	at rob	281	0.564337	1	doors
robin	1	R	2	2256	0.031312	0	1790	2.360871	["ro", "bin"]	[305, 8800]	-0.00705	0	-0.057618	2	2.202605	1	2.360871	0				bos_footprint	doors
 robin	1	R	2	1888	0.468767	1	2256	2.829638	[" rob", "in"]	[3857, 259]	-0.00705	0	-0.077307	2	2.829638	1	2.360871	0	 rob	1888	0.468767	1	doors
