# generated_utc	2026-08-14T14:56:01+00:00
# script	probe_v5.py
# python	3.11.15
# torch	2.9.0+cu128
# transformers	4.57.1
# device	cuda
# gpu	NVIDIA GeForce RTX 5060 Laptop GPU
# revision	607a30d783dfa663caf39e06633721c8d4cfcd7e
# layer	5
# tf32_matmul	False
# tf32_cudnn	False
# theta_sha256	113687a222f8cf98039222c27b39aaf716493e5e8c1db94ea4e6544e0814088c
# n_rows	232
string	bos	rho	n_tok	dest	delta	t_star	runner_up	peak_val	tokens	token_ids	peak_20	peakpos_20	peak_1430	peakpos_1430	peak_1888	peakpos_1888	peak_2256	peakpos_2256	prefix	prefix_dest	prefix_delta	prefix_agrees	arm	canonical
at Mackinaw	1	R	4	20	0.322105	3	1430	3.081348	["at", " Mack", "in", "aw"]	[265, 16640, 259, 707]	3.081348	3	2.759243	3	2.295273	2	2.36087	0	at Mackin	20	0.322105	1	seed	1
at Mackinaw	1	R	4	20	0.322105	3	1430	3.081348	["at", " Mack", "in", "aw"]	[265, 16640, 259, 707]	3.081348	3	2.759243	3	2.295273	2	2.36087	0	at Mackin	20	0.322105	1	A_carrier	1
the Mackinaw	1	R	4	20	0.420925	3	1430	3.327903	["the", " Mack", "in", "aw"]	[1169, 16640, 259, 707]	3.327903	3	2.906978	3	2.623778	1	2.36087	0	the Mackin	20	0.420925	1	A_carrier	1
on Mackinaw	1	R	4	20	0.314855	3	1430	3.184914	["on", " Mack", "in", "aw"]	[261, 16640, 259, 707]	3.184914	3	2.870058	3	2.759684	1	2.36087	0	on Mackin	20	0.314855	1	A_carrier	1
near Mackinaw	1	R	4	20	0.176794	3	1435	3.21908	["near", " Mack", "in", "aw"]	[40093, 16640, 259, 707]	3.21908	3	2.885636	3	2.814234	1	2.36087	0	near Mackin	20	0.176794	1	A_carrier	1
was Mackinaw	1	R	4	20	0.448775	3	1430	3.130962	["was", " Mack", "in", "aw"]	[9776, 16640, 259, 707]	3.130962	3	2.682187	3	2.417966	2	2.36087	0	was Mackin	20	0.448775	1	A_carrier	1
from Mackinaw	1	R	4	20	0.283354	3	1430	3.153087	["from", " Mack", "in", "aw"]	[6738, 16640, 259, 707]	3.153087	3	2.869733	3	2.659812	2	2.36087	0	from Mackin	20	0.283354	1	A_carrier	1
of Mackinaw	1	R	4	20	0.237423	3	1430	3.141515	["of", " Mack", "in", "aw"]	[1659, 16640, 259, 707]	3.141515	3	2.904092	3	2.532597	2	2.36087	0	of Mackin	20	0.237423	1	A_carrier	1
to Mackinaw	1	R	4	20	0.311138	3	1888	3.25851	["to", " Mack", "in", "aw"]	[1462, 16640, 259, 707]	3.25851	3	2.870695	3	2.947372	2	2.36087	0	to Mackin	20	0.311138	1	A_carrier	1
in Mackinaw	1	R	4	1888	0.004593	1	20	2.852341	["in", " Mack", "in", "aw"]	[259, 16640, 259, 707]	2.847747	3	2.723706	3	2.852341	1	2.36087	0	in	1888	0.021242	1	A_carrier	1
by Mackinaw	1	R	4	1430	0.165464	3	20	3.027962	["by", " Mack", "in", "aw"]	[1525, 16640, 259, 707]	2.862498	3	3.027962	3	2.54509	1	2.36087	0	by Mackin	1430	0.165464	1	A_carrier	1
for Mackinaw	1	R	4	20	0.358978	3	1430	3.20015	["for", " Mack", "in", "aw"]	[1640, 16640, 259, 707]	3.20015	3	2.841173	3	2.693015	2	2.36087	0	for Mackin	20	0.358978	1	A_carrier	1
with Mackinaw	1	R	4	20	0.312816	3	1430	3.131236	["with", " Mack", "in", "aw"]	[4480, 16640, 259, 707]	3.131236	3	2.81842	3	2.675416	1	2.36087	0	with Mackin	20	0.312816	1	A_carrier	1
into Mackinaw	1	R	4	20	0.449737	3	1430	3.254885	["into", " Mack", "in", "aw"]	[20424, 16640, 259, 707]	3.254885	3	2.805148	3	2.345483	2	2.36087	0	into Mackin	20	0.449737	1	A_carrier	1
upon Mackinaw	1	R	4	20	0.201931	3	1430	3.019979	["upon", " Mack", "in", "aw"]	[27287, 16640, 259, 707]	3.019979	3	2.818049	3	2.456438	2	2.36087	0	upon Mackin	20	0.201931	1	A_carrier	1
beyond Mackinaw	1	R	5	20	0.466247	4	1430	3.31108	["be", "yond", " Mack", "in", "aw"]	[1350, 3243, 16640, 259, 707]	3.31108	4	2.844833	4	2.609819	3	2.36087	0	beyond Mackin	20	0.466248	1	A_carrier	1
island Mackinaw	1	R	5	20	0.506592	4	1430	3.112056	["is", "land", " Mack", "in", "aw"]	[271, 1044, 16640, 259, 707]	3.112056	4	2.605464	4	2.464652	1	2.36087	0	island Mackin	20	0.506592	1	A_carrier	1
fort Mackinaw	1	R	4	1888	0.28803	1	20	3.453658	["fort", " Mack", "in", "aw"]	[3319, 16640, 259, 707]	3.165628	3	2.730696	3	3.453658	1	2.36087	0	fort	1888	0.628456	1	A_carrier	1
lake Mackinaw	1	R	4	20	0.183836	3	1888	3.16701	["lake", " Mack", "in", "aw"]	[27180, 16640, 259, 707]	3.16701	3	2.643855	3	2.983174	1	2.36087	0	lake Mackin	20	0.183836	1	A_carrier	1
north Mackinaw	1	R	4	20	0.394161	3	1430	3.517594	["north", " Mack", "in", "aw"]	[43588, 16640, 259, 707]	3.517594	3	3.123433	3	2.747657	1	2.36087	0	north Mackin	20	0.394161	1	A_carrier	1
old Mackinaw	1	R	4	20	0.1863	3	1430	3.139143	["old", " Mack", "in", "aw"]	[727, 16640, 259, 707]	3.139143	3	2.952844	3	2.853751	1	2.36087	0	old Mackin	20	0.1863	1	A_carrier	1
great Mackinaw	1	R	4	20	0.405946	3	1888	3.284483	["great", " Mack", "in", "aw"]	[18223, 16640, 259, 707]	3.284483	3	2.868927	3	2.878538	1	2.36087	0	great Mackin	20	0.405946	1	A_carrier	1
we Mackinaw	1	R	4	20	0.30717	3	1790	3.126079	["we", " Mack", "in", "aw"]	[732, 16640, 259, 707]	3.126079	3	2.569201	3	2.634731	2	2.36087	0	we Mackin	20	0.30717	1	A_carrier	1
he Mackinaw	1	R	4	20	0.152556	3	1790	3.042406	["he", " Mack", "in", "aw"]	[258, 16640, 259, 707]	3.042406	3	2.530853	3	2.53288	2	2.36087	0	he Mackin	20	0.152556	1	A_carrier	1
