# generated_utc	2026-08-14T15:34:59+00:00
# script	probe_v6.py
# python	3.11.15
# torch	2.9.0+cu128
# transformers	4.57.1
# device	cuda:0
# gpu	NVIDIA GeForce RTX 5060 Laptop GPU
# revision	607a30d783dfa663caf39e06633721c8d4cfcd7e
# layer	5
# tf32_matmul	False
# tf32_cudnn	False
# theta_sha256	113687a222f8cf98039222c27b39aaf716493e5e8c1db94ea4e6544e0814088c
# n_rows	1620
seed_name	target_dest	branch	rng_seed	n_evaluated	distinct_destinations	target_retained	retention_rate
mackinaw_20	20	A_CARRIER	NA	1	1	1	1.0
mackinaw_20	20	A_CARRIER	NA	2	1	2	1.0
mackinaw_20	20	A_CARRIER	NA	3	1	3	1.0
mackinaw_20	20	A_CARRIER	NA	4	1	4	1.0
mackinaw_20	20	A_CARRIER	NA	5	1	5	1.0
mackinaw_20	20	A_CARRIER	NA	6	1	6	1.0
mackinaw_20	20	A_CARRIER	NA	7	1	7	1.0
mackinaw_20	20	A_CARRIER	NA	8	1	8	1.0
mackinaw_20	20	A_CARRIER	NA	9	2	8	0.8888888888888888
mackinaw_20	20	A_CARRIER	NA	10	2	9	0.9
mackinaw_20	20	A_CARRIER	NA	11	2	9	0.8181818181818182
mackinaw_20	20	A_CARRIER	NA	12	2	9	0.75
mackinaw_20	20	A_CARRIER	NA	13	2	10	0.7692307692307693
mackinaw_20	20	A_CARRIER	NA	14	2	10	0.7142857142857143
mackinaw_20	20	A_CARRIER	NA	15	2	10	0.6666666666666666
mackinaw_20	20	A_CARRIER	NA	16	2	11	0.6875
mackinaw_20	20	A_CARRIER	NA	17	2	12	0.7058823529411765
mackinaw_20	20	A_CARRIER	NA	18	2	12	0.6666666666666666
mackinaw_20	20	A_CARRIER	NA	19	2	12	0.631578947368421
mackinaw_20	20	A_CARRIER	NA	20	2	13	0.65
mackinaw_20	20	A_CARRIER	NA	21	2	14	0.6666666666666666
mackinaw_20	20	A_CARRIER	NA	22	2	15	0.6818181818181818
mackinaw_20	20	A_CARRIER	NA	23	2	16	0.6956521739130435
mackinaw_20	20	A_CARRIER	NA	24	2	17	0.7083333333333334
mackinaw_20	20	A_CARRIER	NA	25	2	18	0.72
mackinaw_20	20	A_CARRIER	NA	26	2	19	0.7307692307692307
mackinaw_20	20	A_CARRIER	NA	27	2	20	0.7407407407407407
mackinaw_20	20	A_CARRIER	NA	28	2	21	0.75
mackinaw_20	20	A_CARRIER	NA	29	2	22	0.7586206896551724
mackinaw_20	20	A_CARRIER	NA	30	2	23	0.7666666666666667
mackinaw_20	20	A_CARRIER	NA	31	2	24	0.7741935483870968
mackinaw_20	20	A_CARRIER	NA	32	2	25	0.78125
mackinaw_20	20	A_CARRIER	NA	33	2	26	0.7878787878787878
mackinaw_20	20	A_CARRIER	NA	34	2	27	0.7941176470588235
mackinaw_20	20	A_CARRIER	NA	35	2	28	0.8
mackinaw_20	20	A_CARRIER	NA	36	2	29	0.8055555555555556
mackinaw_20	20	A_CARRIER	NA	37	2	30	0.8108108108108109
mackinaw_20	20	A_CARRIER	NA	38	2	31	0.8157894736842105
mackinaw_20	20	A_CARRIER	NA	39	2	32	0.8205128205128205
mackinaw_20	20	A_CARRIER	NA	40	2	33	0.825
mackinaw_20	20	A_CARRIER	NA	41	3	33	0.8048780487804879
mackinaw_20	20	A_CARRIER	NA	42	4	33	0.7857142857142857
mackinaw_20	20	A_CARRIER	NA	43	4	34	0.7906976744186046
mackinaw_20	20	A_CARRIER	NA	44	4	35	0.7954545454545454
mackinaw_20	20	A_CARRIER	NA	45	4	36	0.8
mackinaw_20	20	A_CARRIER	NA	46	4	37	0.8043478260869565
mackinaw_20	20	A_CARRIER	NA	47	4	38	0.8085106382978723
mackinaw_20	20	A_CARRIER	NA	48	4	39	0.8125
mackinaw_20	20	A_CARRIER	NA	49	4	39	0.7959183673469388
mackinaw_20	20	A_CARRIER	NA	50	4	40	0.8
mackinaw_20	20	A_CARRIER	NA	51	4	41	0.803921568627451
mackinaw_20	20	A_CARRIER	NA	52	4	42	0.8076923076923077
mackinaw_20	20	A_CARRIER	NA	53	4	43	0.8113207547169812
mackinaw_20	20	A_CARRIER	NA	54	4	44	0.8148148148148148
mackinaw_20	20	A_CARRIER	NA	55	4	45	0.8181818181818182
