# generated_utc	2026-08-14T15:32:51+00:00
# script	probe_v6.py
# python	3.11.15
# torch	2.9.0+cu128
# transformers	4.57.1
# device	cuda:0
# gpu	NVIDIA GeForce RTX 5060 Laptop GPU
# revision	607a30d783dfa663caf39e06633721c8d4cfcd7e
# layer	5
# tf32_matmul	False
# tf32_cudnn	False
# theta_sha256	113687a222f8cf98039222c27b39aaf716493e5e8c1db94ea4e6544e0814088c
# n_rows	30
seed_name	left_block	right_block	left_distinct	right_distinct	intersection_n	union_n	jaccard	intersection
mackinaw_20	A_CARRIER	B_GATE	2	5	1	6	0.16666666666666666	20
mackinaw_20	A_CARRIER	C_LOCAL:rng=0	2	3	1	4	0.25	20
mackinaw_20	A_CARRIER	D_RANDOM_TOKEN:rng=0	2	4	0	6	0.0	
mackinaw_20	A_CARRIER	E_CONTINUATION	2	4	1	5	0.2	20
mackinaw_20	B_GATE	C_LOCAL:rng=0	5	3	2	6	0.3333333333333333	20 1888
mackinaw_20	B_GATE	D_RANDOM_TOKEN:rng=0	5	4	1	8	0.125	1888
mackinaw_20	B_GATE	E_CONTINUATION	5	4	1	8	0.125	20
mackinaw_20	C_LOCAL:rng=0	D_RANDOM_TOKEN:rng=0	3	4	1	6	0.16666666666666666	1888
mackinaw_20	C_LOCAL:rng=0	E_CONTINUATION	3	4	1	6	0.16666666666666666	20
mackinaw_20	D_RANDOM_TOKEN:rng=0	E_CONTINUATION	4	4	1	7	0.14285714285714285	1790
robin_281	A_CARRIER	B_GATE	5	5	1	9	0.1111111111111111	1888
robin_281	A_CARRIER	C_LOCAL:rng=0	5	4	1	8	0.125	1888
robin_281	A_CARRIER	D_RANDOM_TOKEN:rng=0	5	5	2	8	0.25	1790 1888
robin_281	A_CARRIER	E_CONTINUATION	5	1	0	6	0.0	
robin_281	B_GATE	C_LOCAL:rng=0	5	4	1	8	0.125	1888
robin_281	B_GATE	D_RANDOM_TOKEN:rng=0	5	5	1	9	0.1111111111111111	1888
robin_281	B_GATE	E_CONTINUATION	5	1	0	6	0.0	
robin_281	C_LOCAL:rng=0	D_RANDOM_TOKEN:rng=0	4	5	1	8	0.125	1888
robin_281	C_LOCAL:rng=0	E_CONTINUATION	4	1	1	4	0.25	281
robin_281	D_RANDOM_TOKEN:rng=0	E_CONTINUATION	5	1	0	6	0.0	
cold_38	A_CARRIER	B_GATE	7	3	1	9	0.1111111111111111	1888
cold_38	A_CARRIER	C_LOCAL:rng=0	7	2	2	7	0.2857142857142857	1888 2761
cold_38	A_CARRIER	D_RANDOM_TOKEN:rng=0	7	5	2	10	0.2	1790 1888
cold_38	A_CARRIER	E_CONTINUATION	7	2	2	7	0.2857142857142857	38 1888
cold_38	B_GATE	C_LOCAL:rng=0	3	2	1	4	0.25	1888
cold_38	B_GATE	D_RANDOM_TOKEN:rng=0	3	5	1	7	0.14285714285714285	1888
cold_38	B_GATE	E_CONTINUATION	3	2	1	4	0.25	1888
cold_38	C_LOCAL:rng=0	D_RANDOM_TOKEN:rng=0	2	5	1	6	0.16666666666666666	1888
cold_38	C_LOCAL:rng=0	E_CONTINUATION	2	2	1	3	0.3333333333333333	1888
cold_38	D_RANDOM_TOKEN:rng=0	E_CONTINUATION	5	2	1	6	0.16666666666666666	1888
