# generated_utc	2026-08-14T19:14:46+00:00
# script	probe_v11.py
# python	3.11.15
# torch	2.9.0+cu128
# transformers	4.57.1
# device	cuda:0
# gpu	NVIDIA GeForce RTX 5060 Laptop GPU
# revision	607a30d783dfa663caf39e06633721c8d4cfcd7e
# layer	5
# tf32_matmul	False
# tf32_cudnn	False
# theta_sha256	113687a222f8cf98039222c27b39aaf716493e5e8c1db94ea4e6544e0814088c
# n_rows	650
case_id	branch	seed_id	variant	carrier_id	carrier	leading_prefix	first	connector	second	construction	continuation_id	continuation	string	n_tok	tokens	token_ids	pre_second_body_tokens	second_realised_tokens	completion_pos	completion_token	raw_pre_second_541	raw_completion_541	raw_completion_increment	raw_completion_best_other	raw_completion_best_other_value	raw_completion_margin	peak_541	peakpos_541	peak_token_541	best_other	best_other_peak	signed_541_margin	dest	retained_541	winner_peak	reported_delta	target_peaks_at_completion	baseline_variant	notes	native_connector	frame_class	source_provenance	known_member	related_member	arbitrary_a	arbitrary_b
FRAME_CROSS__AFTER_WAVE__KNOWN_REPEAT__BARE__NONE	FRAME_CROSS	AFTER_WAVE	KNOWN_REPEAT	BARE			wave	after	wave	wave after wave	NONE		wave after wave	3	["wave", " after", " wave"]	[19204, 706, 6769]	2	1	3	 wave	-0.073614	3.210714	3.284328	1738	3.00262	0.208094	3.210714	3	 wave	1888	3.231446	-0.020732	1888	0	3.231446	0.020732	1	KNOWN_REPEAT	known member repeated in native connector frame	after	KNOWN_REPEAT	V9_ATTESTED	wave	tide	gravel	window
FRAME_CROSS__AFTER_WAVE__KNOWN_RELATED__BARE__NONE	FRAME_CROSS	AFTER_WAVE	KNOWN_RELATED	BARE			wave	after	tide	wave after tide	NONE		wave after tide	3	["wave", " after", " tide"]	[19204, 706, 20013]	2	1	3	 tide	-0.073614	1.231432	1.305045	1888	2.08248	-0.851049	1.231432	3	 tide	1888	3.231446	-2.000014	1888	0	3.231446	0.679401	1	KNOWN_REPEAT	known first plus related distinct second	after	RELATED_DISTINCT	V9_ATTESTED	wave	tide	gravel	window
FRAME_CROSS__AFTER_WAVE__KNOWN_ARBITRARY__BARE__NONE	FRAME_CROSS	AFTER_WAVE	KNOWN_ARBITRARY	BARE			wave	after	window	wave after window	NONE		wave after window	3	["wave", " after", " window"]	[19204, 706, 4324]	2	1	3	 window	-0.073614	0.773809	0.847423	1790	2.617693	-1.843885	0.773809	3	 window	1888	3.231446	-2.457637	1888	0	3.231446	0.613753	1	KNOWN_REPEAT	known first plus arbitrary distinct second	after	ARBITRARY_DISTINCT	V9_ATTESTED	wave	tide	gravel	window
FRAME_CROSS__AFTER_WAVE__ARBITRARY_KNOWN__BARE__NONE	FRAME_CROSS	AFTER_WAVE	ARBITRARY_KNOWN	BARE			gravel	after	wave	gravel after wave	NONE		gravel after wave	4	["g", "ravel", " after", " wave"]	[70, 25843, 706, 6769]	3	1	4	 wave	-0.043269	-0.132219	-0.088949	1888	2.219777	-2.351996	-0.000102	0	<BOS>	1888	2.942774	-2.942875	1888	0	2.942774	0.45512	0	KNOWN_REPEAT	arbitrary first plus known second	after	ARBITRARY_DISTINCT	V9_ATTESTED	wave	tide	gravel	window
FRAME_CROSS__AFTER_WAVE__ARBITRARY_REPEAT__BARE__NONE	FRAME_CROSS	AFTER_WAVE	ARBITRARY_REPEAT	BARE			gravel	after	gravel	gravel after gravel	NONE		gravel after gravel	4	["g", "ravel", " after", " gravel"]	[70, 25843, 706, 34375]	3	1	4	 gravel	-0.043269	0.283335	0.326605	698	1.745108	-1.461773	0.283335	4	 gravel	1888	2.942774	-2.659438	1888	0	2.942774	0.45512	1	KNOWN_REPEAT	predeclared arbitrary member repeated	after	NOVEL_REPEAT	V9_ATTESTED	wave	tide	gravel	window
FRAME_CROSS__AFTER_WAVE__ARBITRARY_DISTINCT__BARE__NONE	FRAME_CROSS	AFTER_WAVE	ARBITRARY_DISTINCT	BARE			gravel	after	window	gravel after window	NONE		gravel after window	4	["g", "ravel", " after", " window"]	[70, 25843, 706, 4324]	3	1	4	 window	-0.043269	0.455873	0.499142	1888	2.683637	-2.227765	0.455873	4	 window	1888	2.942774	-2.486901	1888	0	2.942774	0.319258	1	KNOWN_REPEAT	two predeclared arbitrary members	after	NOVEL_DISTINCT	V9_ATTESTED	wave	tide	gravel	window
FRAME_CROSS__AFTER_WAVE__KNOWN_NO_CONNECTOR__BARE__NONE	FRAME_CROSS	AFTER_WAVE	KNOWN_NO_CONNECTOR	BARE			wave		wave	wave wave	NONE		wave wave	2	["wave", " wave"]	[19204, 6769]	1	1	2	 wave	-0.131282	-0.144247	-0.012965	1888	2.032094	-2.176342	-0.000102	0	<BOS>	1888	3.231446	-3.231548	1888	0	3.231446	0.679401	0	KNOWN_REPEAT	known repetition with connector removed	after	NO_CONNECTOR	V9_ATTESTED	wave	tide	gravel	window
FRAME_CROSS__AFTER_WAVE__ARBITRARY_NO_CONNECTOR__BARE__NONE	FRAME_CROSS	AFTER_WAVE	ARBITRARY_NO_CONNECTOR	BARE			gravel		gravel	gravel gravel	NONE		gravel gravel	3	["g", "ravel", " gravel"]	[70, 25843, 34375]	2	1	3	 gravel	-0.06898	-0.060308	0.008672	698	2.039096	-2.099404	-0.000102	0	<BOS>	1888	2.942774	-2.942875	1888	0	2.942774	0.45512	0	KNOWN_REPEAT	arbitrary repetition with connector removed	after	NO_CONNECTOR	V9_ATTESTED	wave	tide	gravel	window
FRAME_CROSS__AFTER_WAVE__KNOWN_REPEAT__V9_SPACE__NONE	FRAME_CROSS	AFTER_WAVE	KNOWN_REPEAT	V9_SPACE		 	wave	after	wave	wave after wave	NONE		 wave after wave	3	[" wave", " after", " wave"]	[6769, 706, 6769]	2	1	3	 wave	-0.063724	3.388217	3.451942	1738	3.124059	0.264158	3.388217	3	 wave	1888	3.616646	-0.228429	1888	0	3.616646	0.228429	1	KNOWN_REPEAT	known member repeated in native connector frame	after	KNOWN_REPEAT	V9_ATTESTED	wave	tide	gravel	window
FRAME_CROSS__AFTER_WAVE__KNOWN_RELATED__V9_SPACE__NONE	FRAME_CROSS	AFTER_WAVE	KNOWN_RELATED	V9_SPACE		 	wave	after	tide	wave after tide	NONE		 wave after tide	3	[" wave", " after", " tide"]	[6769, 706, 20013]	2	1	3	 tide	-0.063724	0.779381	0.843106	1888	2.131701	-1.35232	0.779381	3	 tide	1888	3.616646	-2.837265	1888	0	3.616646	1.235777	1	KNOWN_REPEAT	known first plus related distinct second	after	RELATED_DISTINCT	V9_ATTESTED	wave	tide	gravel	window
