# generated_utc	2026-08-15T00:50:25+00:00
# script	probe_v13.py
# python	3.11.15
# torch	2.9.0+cu128
# transformers	4.57.1
# device	cuda:0
# gpu	NVIDIA GeForce RTX 5060 Laptop GPU
# revision	607a30d783dfa663caf39e06633721c8d4cfcd7e
# layer	5
# tf32_matmul	False
# tf32_cudnn	False
# theta_sha256	113687a222f8cf98039222c27b39aaf716493e5e8c1db94ea4e6544e0814088c
# n_rows	30
case_id	branch	contrast	team_treatment	single_treatments	team_outcome_logprob_change	single_effect_sum	interaction_residual	caveat
N_AIR_WAS_COLD	NATURAL_ABLATION	TEAM_MINUS_SUM_OF_SINGLE_ABLATIONS	ZERO_TEAM_38_1103_2094	["ZERO_38", "ZERO_1103", "ZERO_2094"]	-0.076908290386	-0.071371138096	-0.00553715229	descriptive non-additivity; downstream network and log-probability scale are nonlinear
N_CAUGHT_A_COLD	NATURAL_ABLATION	TEAM_MINUS_SUM_OF_SINGLE_ABLATIONS	ZERO_TEAM_38_1103_2094	["ZERO_38", "ZERO_1103", "ZERO_2094"]	0.007302999496	0.009562969207	-0.002259969711	descriptive non-additivity; downstream network and log-probability scale are nonlinear
N_COLD_START	NATURAL_ABLATION	TEAM_MINUS_SUM_OF_SINGLE_ABLATIONS	ZERO_TEAM_38_1103_2094	["ZERO_38", "ZERO_1103", "ZERO_2094"]	0.002002239227	0.001992464065	9.775162e-06	descriptive non-additivity; downstream network and log-probability scale are nonlinear
N_COLD_WAR	NATURAL_ABLATION	TEAM_MINUS_SUM_OF_SINGLE_ABLATIONS	ZERO_TEAM_38_1103_2094	["ZERO_38", "ZERO_1103", "ZERO_2094"]	0.001713514328	0.001761674881	-4.8160553e-05	descriptive non-additivity; downstream network and log-probability scale are nonlinear
N_DECISION_WAS_COLD	NATURAL_ABLATION	TEAM_MINUS_SUM_OF_SINGLE_ABLATIONS	ZERO_TEAM_38_1103_2094	["ZERO_38", "ZERO_1103", "ZERO_2094"]	-0.037806034088	-0.037996888161	0.000190854073	descriptive non-additivity; downstream network and log-probability scale are nonlinear
N_IT_FELT_COLD	NATURAL_ABLATION	TEAM_MINUS_SUM_OF_SINGLE_ABLATIONS	ZERO_TEAM_38_1103_2094	["ZERO_38", "ZERO_1103", "ZERO_2094"]	0.333055973053	0.329087018967	0.003968954086	descriptive non-additivity; downstream network and log-probability scale are nonlinear
N_IT_IS_COLD	NATURAL_ABLATION	TEAM_MINUS_SUM_OF_SINGLE_ABLATIONS	ZERO_TEAM_38_1103_2094	["ZERO_38", "ZERO_1103", "ZERO_2094"]	-0.343310594559	-0.328049659729	-0.01526093483	descriptive non-additivity; downstream network and log-probability scale are nonlinear
N_IT_WAS_CHILLY	NATURAL_ABLATION	TEAM_MINUS_SUM_OF_SINGLE_ABLATIONS	ZERO_TEAM_38_1103_2094	["ZERO_38", "ZERO_1103", "ZERO_2094"]	-0.108661174774	-0.110024929047	0.001363754273	descriptive non-additivity; downstream network and log-probability scale are nonlinear
N_IT_WAS_COLD	NATURAL_ABLATION	TEAM_MINUS_SUM_OF_SINGLE_ABLATIONS	ZERO_TEAM_38_1103_2094	["ZERO_38", "ZERO_1103", "ZERO_2094"]	-0.0759429764	-0.04901644215	-0.02692653425	descriptive non-additivity; downstream network and log-probability scale are nonlinear
N_IT_WAS_COOL	NATURAL_ABLATION	TEAM_MINUS_SUM_OF_SINGLE_ABLATIONS	ZERO_TEAM_38_1103_2094	["ZERO_38", "ZERO_1103", "ZERO_2094"]	-0.737055540085	-0.743382334709	0.006326794624	descriptive non-additivity; downstream network and log-probability scale are nonlinear
N_IT_WAS_FREEZING	NATURAL_ABLATION	TEAM_MINUS_SUM_OF_SINGLE_ABLATIONS	ZERO_TEAM_38_1103_2094	["ZERO_38", "ZERO_1103", "ZERO_2094"]	-0.59808075428	-0.56316280365	-0.03491795063	descriptive non-additivity; downstream network and log-probability scale are nonlinear
