# generated_utc	2026-08-15T01:16:05+00:00
# script	probe_v14.py
# python	3.11.15
# torch	2.9.0+cu128
# transformers	4.57.1
# device	cuda:0
# gpu	NVIDIA GeForce RTX 5060 Laptop GPU
# revision	607a30d783dfa663caf39e06633721c8d4cfcd7e
# layer	5
# tf32_matmul	False
# tf32_cudnn	False
# theta_sha256	113687a222f8cf98039222c27b39aaf716493e5e8c1db94ea4e6544e0814088c
# n_rows	60
row_type	treatment	pair_id	prefix	cold_case_id	control_case_id	cold_outcome	control_outcome	final_38_activation	within_observed_natural_max	cold_logprob_change	control_logprob_change	cold_minus_control	mean_cold_minus_control	n_pairs
PAIR	ADD_POS_HIGH_38	IT_WAS	It was	P_IT_WAS_COLD	P_IT_WAS_WARM	 cold	 warm	4.894135	0	0.777042388916	0.597332000732	0.179710388184		
PAIR	ADD_POS_HIGH_38	AIR_IS	The air is	P_AIR_IS_COLD	P_AIR_IS_HOT	 cold	 hot	3.970444	0	0.356412172318	0.113721132278	0.24269104004		
PAIR	ADD_POS_HIGH_38	ROOM_WAS	The room was	P_ROOM_WAS_COLD	P_ROOM_WAS_DARK	 cold	 dark	3.687665	0	0.717800140381	0.508495330811	0.20930480957		
PAIR	ADD_POS_HIGH_38	SEASON_IS	The season is	P_SEASON_IS_COLD	P_SEASON_IS_WARM	 cold	 warm	4.055374	0	0.752201080322	0.4436378479	0.308563232422		
PAIR	ADD_POS_HIGH_38	WORLD_IS	The world is	P_WORLD_IS_COLD	P_WORLD_IS_STRANGE	 cold	 strange	3.550205	0	0.708777427673	0.529715538025	0.179061889648		
AGGREGATE	ADD_POS_HIGH_38	ALL_DECLARED_PAIRS											0.223866271973	5
PAIR	ADD_POS_LOW_38	IT_WAS	It was	P_IT_WAS_COLD	P_IT_WAS_WARM	 cold	 warm	4.100535	0	0.576166629791	0.442560195923	0.133606433868		
PAIR	ADD_POS_LOW_38	AIR_IS	The air is	P_AIR_IS_COLD	P_AIR_IS_HOT	 cold	 hot	3.176844	1	0.272756099701	0.095616817474	0.177139282227		
PAIR	ADD_POS_LOW_38	ROOM_WAS	The room was	P_ROOM_WAS_COLD	P_ROOM_WAS_DARK	 cold	 dark	2.894065	1	0.54419708252	0.396377801895	0.147819280625		
PAIR	ADD_POS_LOW_38	SEASON_IS	The season is	P_SEASON_IS_COLD	P_SEASON_IS_WARM	 cold	 warm	3.261774	1	0.552680492401	0.325507640839	0.227172851562		
