# {'model': 'gpt2', 'layer': 5, 'hook': 'transformer.h[5].mlp.act', 'm': 3072, 'vocab': 50257, 'device': 'cuda'}
neuron	bos_act	exp_wins	imp_r_wins	imp_i_wins	exp_max	imp_max_all	imp_max_last
0	-0.076288	0	0	0	-0.074524	0.220788	0.220788
1	0.253603	0	0	0	0.266771	0.738362	0.738362
2	-0.063139	0	0	0	-0.058712	1.018230	1.018230
3	0.136350	0	0	0	0.147942	0.956186	0.956186
4	0.285320	0	0	0	0.307118	2.039702	2.039702
5	0.355651	0	0	0	0.397944	2.394078	2.394078
6	0.622736	0	0	0	0.640961	1.279192	1.279192
7	-0.106395	0	0	0	-0.102235	2.018897	2.018897
8	0.324595	0	11	11	0.382275	3.596837	3.596837
9	-0.006302	0	0	0	-0.005111	1.858144	1.858144
10	-0.066602	0	0	0	-0.062951	0.861834	0.861834
11	-0.009521	0	1	1	-0.007803	2.410569	2.410569
12	0.337813	0	0	0	0.366076	2.326459	2.326459
13	-0.006381	0	0	0	0.005521	0.064761	0.064761
14	0.290071	0	0	0	0.312088	1.558757	1.558757
15	0.398365	0	0	0	0.431013	1.744856	1.744856
16	0.425113	0	0	0	0.447185	1.243755	1.243755
17	0.384190	0	0	0	0.405381	1.408452	1.408452
18	0.564263	0	0	0	0.606342	0.833158	0.833158
19	-0.099680	0	0	0	-0.094844	0.533775	0.533775
20	-0.007050	0	0	0	-0.006329	2.316557	2.316557
21	0.535653	0	0	0	0.548788	0.535654	0.318024
22	-0.055366	0	0	0	-0.052841	-0.008965	-0.008965
23	-0.036073	0	0	0	-0.033232	1.778768	1.778768
24	-0.153522	0	0	0	-0.147799	1.980144	1.980144
25	-0.033066	0	0	0	-0.002835	2.876399	2.876399
26	0.534428	0	0	0	0.552454	1.053576	1.053576
27	0.246606	0	0	0	0.272862	1.544628	1.544628
28	0.043632	0	0	0	0.050270	0.798864	0.798864
29	-0.054669	0	0	0	-0.044202	0.621294	0.621294
30	0.421499	0	0	0	0.457639	0.625440	0.625440
31	0.261494	0	0	0	0.279624	0.979588	0.979588
32	-0.115455	0	0	0	-0.110810	0.967130	0.967130
33	-0.154093	0	0	0	-0.150954	2.130682	2.130682
34	0.699120	0	0	0	0.735864	1.429140	1.429140
35	0.091093	0	0	0	0.110358	1.689873	1.689873
36	-0.002489	0	0	0	-0.001906	1.296328	1.296328
37	0.212853	0	0	0	0.227617	1.761983	1.761983
38	0.116320	0	0	0	0.122083	1.663988	1.663988
39	-0.037310	0	0	0	-0.028526	1.800867	1.800867
40	-0.045567	0	0	0	-0.038357	0.915780	0.915780
41	-0.162067	0	0	0	-0.159350	1.108195	1.108195
42	-0.049868	0	0	0	-0.045278	0.216127	0.216127
43	0.101747	0	3	4	0.121881	2.960997	2.960997
44	0.689931	0	0	0	0.729407	0.934719	0.934719
45	-0.015130	0	0	0	-0.013983	0.830889	0.830889
46	-0.069450	0	0	0	-0.065503	0.719416	0.719416
47	0.782924	0	0	0	0.820844	2.103711	2.103711
48	-0.000146	0	0	0	-0.000111	1.796342	1.796342
49	0.221523	0	0	0	0.234232	0.690622	0.690622
50	-0.129791	0	0	0	-0.127125	0.671518	0.671518
51	0.018133	0	0	0	0.031518	2.224586	2.224586
52	-0.050448	0	0	0	-0.046225	0.642059	0.642059
53	-0.045763	0	0	0	-0.042345	0.739156	0.739156
54	-0.116273	0	0	0	-0.113144	1.380751	1.380751
55	0.757222	0	0	0	0.811909	1.253853	1.253853
56	-0.108055	0	0	0	-0.105282	1.855861	1.855861
57	-0.143576	0	0	0	-0.140418	1.340448	1.340448
58	0.304844	0	0	0	0.312031	1.261024	1.261024
59	0.164784	0	0	0	0.180228	1.236474	1.236474
60	-0.002544	0	0	0	-0.002130	0.636745	0.636745
61	-0.008444	0	0	0	-0.006951	2.222672	2.222672
62	-0.037591	0	0	0	-0.035502	1.994023	1.994023
63	0.020171	0	0	0	0.030534	1.153415	1.153415
64	-0.019846	0	0	0	-0.017805	0.185467	0.185467
65	-0.000445	0	0	0	0.017858	1.519047	1.519047
66	0.584530	0	0	0	0.608648	1.585467	1.585467
67	-0.047227	0	0	0	-0.045313	1.604972	1.604972
68	-0.151096	0	0	0	-0.147473	1.736671	1.736671
69	0.194578	0	0	0	0.212555	0.808603	0.808603
70	0.406386	0	0	0	0.432682	1.834053	1.834053
71	-0.012562	0	0	0	-0.010644	1.445066	1.445066
72	-0.012273	0	0	0	-0.010787	2.180562	2.180562
73	-0.077187	0	0	0	-0.076003	1.075016	1.075016
74	0.545511	0	0	0	0.586466	2.065737	2.065737
75	-0.000358	0	0	0	-0.000263	0.536942	0.536942
76	0.530858	0	0	0	0.545237	1.482950	1.482950
77	0.265868	0	0	0	0.278894	1.025000	1.025000
78	-0.034715	0	0	1	-0.031395	2.486515	2.486515
79	-0.062235	0	0	0	-0.058830	1.522330	1.522330
80	0.267336	0	0	0	0.286686	1.051620	1.051620
81	-0.061841	0	0	0	-0.058243	0.331831	0.331831
82	0.093058	0	0	0	0.108737	1.600389	1.600389
83	-0.005185	0	0	0	-0.004090	0.436881	0.436881
84	-0.007790	0	0	0	-0.006567	2.301683	2.301683
85	-0.163721	0	0	0	-0.161025	1.237252	1.237252
86	0.140577	0	0	0	0.153311	0.789766	0.789766
87	-0.085394	0	0	0	-0.084485	2.364054	2.364054
88	-0.034395	0	0	0	-0.022625	1.106171	1.106171
89	-0.012014	0	0	0	-0.010403	2.380852	2.380852
90	-0.012196	0	0	0	-0.010408	1.361853	1.361853
91	-0.006161	0	0	0	-0.005239	2.081837	2.081837
92	-0.034256	0	0	0	-0.031326	2.114915	2.114915
93	-0.097628	0	0	0	-0.095373	1.032486	1.032486
94	-0.052903	0	0	0	-0.050157	0.540700	0.540700
95	0.010325	0	0	0	0.014364	0.625792	0.625792
96	-0.066913	0	0	0	-0.066154	2.105974	2.105974
97	0.181288	0	0	0	0.205783	0.823345	0.823345
98	-0.091983	0	0	0	-0.088955	2.119561	2.119561
99	-0.000001	0	0	0	-0.000001	0.292308	0.292308
100	-0.065010	0	0	0	-0.055750	0.805655	0.805655
101	-0.062868	0	0	0	-0.058194	2.470387	2.470387
102	-0.129060	0	1	1	-0.127261	2.720570	2.720570
103	-0.145399	0	0	0	-0.141926	1.794974	1.794974
104	-0.110191	0	0	0	-0.106651	0.480349	0.480349
105	-0.040964	0	0	0	-0.039990	0.595198	0.595198
106	0.068284	0	0	0	0.086579	1.117899	1.117899
107	-0.020486	0	0	0	-0.018257	1.253984	1.253984
108	0.380245	0	0	0	0.402372	1.603956	1.603956
109	-0.098380	0	0	0	-0.095856	0.981918	0.981918
110	-0.044273	0	0	0	-0.041242	2.197379	2.197379
111	0.325196	0	0	0	0.337755	1.045048	1.045048
112	0.027873	0	0	0	0.030895	0.648998	0.648998
113	0.319038	0	0	1	0.345728	2.231628	2.231628
114	-0.027365	0	0	0	-0.024446	2.308115	2.308115
115	0.110953	0	0	0	0.120883	1.413439	1.413439
116	-0.053196	0	0	0	-0.050997	1.364137	1.364137
117	-0.014388	0	0	0	-0.012614	2.240122	2.240122
118	0.571514	0	0	0	0.601602	1.735423	1.735423
